underwriting_sk,policy_sk,customer_sk,vehicle_sk,policy_type,coverage_type,policy_status,make,model,segment,fuel_type,vehicle_age_band,risk_score,risk_band,fraud_probability,underwriting_decision,manual_review_flag,auto_approved_flag,rejected_flag,stp_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,sla_breached_flag,high_risk_flag,fraud_flag,recommendation,model_version,underwriting_date_sk
88021,88021,88021,88021,Comprehensive,Gold,Active,1,M1,A,CNG,New,34,Medium,0.34,Approved,0,1,0,1,4,0,4,78.9,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250325
88022,88022,88022,88022,Third Party,Silver,Active,1,M1,A,CNG,New,23,Low,0.23,Approved,0,1,0,1,5,-10,4,86.62,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240404
88023,88023,88023,88023,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,48,Medium,0.48,Manual Review,1,0,0,0,80,1,3,79.59,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250419
88024,88024,88024,88024,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,60,High,0.6,Manual Review,1,0,0,0,38,3,3,95.28,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20220723
88025,88025,88025,88025,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,66,High,0.66,Manual Review,1,0,0,0,55,1,3,82.45,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20240123
88026,88026,88026,88026,Comprehensive,Silver,Active,1,M1,A,CNG,New,78,High,0.78,Rejected,0,0,1,1,9,29,1,87.79,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250724
88027,88027,88027,88027,Third Party,Gold,Cancelled,1,M6,B2,Petrol,New,69,High,0.69,Manual Review,1,0,0,0,36,14,7,87.35,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20230717
88028,88028,88028,88028,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,54,Medium,0.54,Manual Review,1,0,0,0,39,7,7,77.44,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240621
88029,88029,88029,88029,Comprehensive,Gold,Active,5,M9,C1,Diesel,New,85,Very High,0.85,Rejected,0,0,1,1,18,16,1,76.58,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231225
88030,88030,88030,88030,Third Party,Gold,Active,1,M1,A,CNG,New,54,Medium,0.54,Manual Review,1,0,0,0,61,4,3,89.07,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240922
88031,88031,88031,88031,Comprehensive,Gold,Active,2,M3,A,Petrol,New,60,High,0.6,Manual Review,1,0,0,0,57,13,1,93.41,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20241008
88032,88032,88032,88032,Comprehensive,Basic,Active,1,M8,B1,CNG,New,20,Low,0.2,Approved,0,1,0,1,7,-7,7,88.98,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230301
88033,88033,88033,88033,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,73,High,0.73,Rejected,0,0,1,1,15,32,5,76.47,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250918
88034,88034,88034,88034,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,81,Very High,0.81,Rejected,0,0,1,1,9,32,7,76.38,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241118
88035,88035,88035,88035,Third Party,Basic,Active,1,M1,A,CNG,New,69,High,0.69,Manual Review,1,0,0,0,60,6,1,95.6,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20240721
88036,88036,88036,88036,Comprehensive,Gold,Active,1,M1,A,CNG,New,20,Low,0.2,Approved,0,1,0,1,4,1,3,97.43,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220302
88037,88037,88037,88037,Comprehensive,Basic,Active,1,M1,A,CNG,New,76,High,0.76,Rejected,0,0,1,1,8,32,3,91.06,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241220
88038,88038,88038,88038,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,74,High,0.74,Rejected,0,0,1,1,9,28,3,78.5,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240419
88039,88039,88039,88039,Comprehensive,Basic,Expired,5,M9,C1,Diesel,New,66,High,0.66,Manual Review,1,0,0,0,62,3,6,81.34,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20241109
88040,88040,88040,88040,Third Party,Silver,Active,3,M4,C2,Diesel,New,67,High,0.67,Manual Review,1,0,0,0,87,12,7,95.55,Manual,David,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20240728
88041,88041,88041,88041,Comprehensive,Gold,Active,1,M8,B1,CNG,New,81,Very High,0.81,Rejected,0,0,1,1,17,15,4,81.76,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220225
88042,88042,88042,88042,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,13,Low,0.13,Approved,0,1,0,1,6,0,3,91.82,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20231119
88043,88043,88043,88043,Third Party,Silver,Active,1,M2,C1,Petrol,New,43,Medium,0.43,Manual Review,1,0,0,0,78,14,5,89.06,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250915
88044,88044,88044,88044,Third Party,Basic,Expired,1,M6,B2,Petrol,New,56,Medium,0.56,Manual Review,1,0,0,0,73,11,7,87.15,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240629
88045,88045,88045,88045,Third Party,Basic,Active,1,M6,B2,Petrol,New,13,Low,0.13,Approved,0,1,0,1,6,-7,4,76.94,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240131
88046,88046,88046,88046,Third Party,Basic,Active,1,M1,A,CNG,New,70,High,0.7,Rejected,0,0,1,1,23,33,6,85.47,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220723
88047,88047,88047,88047,Third Party,Silver,Active,3,M4,C2,Diesel,New,80,Very High,0.8,Rejected,0,0,1,1,17,23,5,91.54,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250422
88048,88048,88048,88048,Comprehensive,Gold,Active,4,M5,B2,Diesel,New,50,Medium,0.5,Manual Review,1,0,0,0,42,5,1,87.82,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20241205
88049,88049,88049,88049,Comprehensive,Gold,Cancelled,1,M6,B2,Petrol,New,73,High,0.73,Rejected,0,0,1,1,14,33,6,79.44,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230317
88050,88050,88050,88050,Third Party,Silver,Active,1,M6,B2,Petrol,New,91,Very High,0.91,Rejected,0,0,1,1,22,18,4,81.44,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241204
88051,88051,88051,88051,Comprehensive,Gold,Expired,3,M4,C2,Diesel,New,12,Low,0.12,Approved,0,1,0,1,6,-7,4,88.97,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230708
88052,88052,88052,88052,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,34,Medium,0.34,Approved,0,1,0,1,5,-8,5,96.34,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220108
88053,88053,88053,88053,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,80,Very High,0.8,Rejected,0,0,1,1,9,24,6,86.11,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220114
88054,88054,88054,88054,Third Party,Basic,Expired,3,M4,C2,Diesel,New,7,Low,0.07,Approved,0,1,0,1,3,1,6,90.75,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220817
88055,88055,88055,88055,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,34,Medium,0.34,Approved,0,1,0,1,3,-10,5,83.81,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240304
88056,88056,88056,88056,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,24,Low,0.24,Approved,0,1,0,1,3,1,3,83.2,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20220412
88057,88057,88057,88057,Third Party,Basic,Active,1,M1,A,CNG,New,43,Medium,0.43,Manual Review,1,0,0,0,83,7,7,93.57,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230516
88058,88058,88058,88058,Third Party,Silver,Active,1,M1,A,CNG,New,53,Medium,0.53,Manual Review,1,0,0,0,38,4,3,89.28,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20250813
88059,88059,88059,88059,Third Party,Silver,Active,1,M6,B2,Petrol,New,93,Very High,0.93,Rejected,0,0,1,1,14,17,5,96.58,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20241118
88060,88060,88060,88060,Comprehensive,Gold,Expired,1,M6,B2,Petrol,New,57,Medium,0.57,Manual Review,1,0,0,0,39,6,4,77.35,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20231204
88061,88061,88061,88061,Third Party,Basic,Active,1,M1,A,CNG,New,82,Very High,0.82,Rejected,0,0,1,1,15,23,3,94.32,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221220
88062,88062,88062,88062,Third Party,Silver,Active,1,M8,B1,CNG,New,17,Low,0.17,Approved,0,1,0,1,4,-1,1,77.24,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240908
88063,88063,88063,88063,Comprehensive,Basic,Active,1,M1,A,CNG,New,47,Medium,0.47,Manual Review,1,0,0,0,63,7,5,81.4,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230319
88064,88064,88064,88064,Third Party,Gold,Active,1,M1,A,CNG,New,80,Very High,0.8,Rejected,0,0,1,1,17,28,4,95.02,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20221030
88065,88065,88065,88065,Third Party,Silver,Active,1,M6,B2,Petrol,New,45,Medium,0.45,Manual Review,1,0,0,0,53,2,6,83.42,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250524
88066,88066,88066,88066,Third Party,Basic,Active,3,M4,C2,Diesel,New,45,Medium,0.45,Manual Review,1,0,0,0,66,3,6,86.17,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240130
88067,88067,88067,88067,Comprehensive,Silver,Active,1,M7,B2,Petrol,New,46,Medium,0.46,Manual Review,1,0,0,0,89,13,1,91.48,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20251006
88068,88068,88068,88068,Third Party,Silver,Expired,1,M1,A,CNG,New,8,Low,0.08,Approved,0,1,0,1,4,-5,3,94.56,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230608
88069,88069,88069,88069,Comprehensive,Basic,Active,1,M1,A,CNG,New,49,Medium,0.49,Manual Review,1,0,0,0,29,1,5,94.77,Manual,Priya,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20241113
88070,88070,88070,88070,Comprehensive,Gold,Active,1,M8,B1,CNG,New,54,Medium,0.54,Manual Review,1,0,0,0,45,5,7,86.45,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230531
88071,88071,88071,88071,Comprehensive,Basic,Active,1,M1,A,CNG,New,20,Low,0.2,Approved,0,1,0,1,3,3,3,90.96,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220108
88072,88072,88072,88072,Comprehensive,Silver,Active,1,M2,C1,Petrol,New,60,High,0.6,Manual Review,1,0,0,0,87,5,7,87.13,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20231107
88073,88073,88073,88073,Third Party,Basic,Active,3,M4,C2,Diesel,New,51,Medium,0.51,Manual Review,1,0,0,0,54,4,5,81.71,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20250211
88074,88074,88074,88074,Third Party,Basic,Active,1,M1,A,CNG,New,65,High,0.65,Manual Review,1,0,0,0,39,8,6,92.7,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20230716
88075,88075,88075,88075,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,50,Medium,0.5,Manual Review,1,0,0,0,47,12,3,98.25,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20220826
88076,88076,88076,88076,Third Party,Basic,Active,1,M1,A,CNG,New,86,Very High,0.86,Rejected,0,0,1,1,9,29,6,93.4,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240306
88077,88077,88077,88077,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,32,Medium,0.32,Approved,0,1,0,1,6,-1,1,84.74,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20241221
88078,88078,88078,88078,Comprehensive,Silver,Active,1,M8,B1,CNG,New,9,Low,0.09,Approved,0,1,0,1,2,4,4,91.66,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240510
88079,88079,88079,88079,Comprehensive,Silver,Active,2,M3,A,Petrol,New,76,High,0.76,Rejected,0,0,1,1,23,16,4,94.7,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250224
88080,88080,88080,88080,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,42,Medium,0.42,Manual Review,1,0,0,0,70,7,1,99.77,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240103
88081,88081,88081,88081,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,54,Medium,0.54,Manual Review,1,0,0,0,72,5,2,81.58,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250816
88082,88082,88082,88082,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,85,Very High,0.85,Rejected,0,0,1,1,15,29,4,92.75,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220609
88083,88083,88083,88083,Third Party,Gold,Active,1,M1,A,CNG,New,23,Low,0.23,Approved,0,1,0,1,5,4,2,86.18,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20251125
88084,88084,88084,88084,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,68,High,0.68,Manual Review,1,0,0,0,45,11,1,95.65,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20240626
88085,88085,88085,88085,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,90,Very High,0.9,Rejected,0,0,1,1,20,27,3,90.46,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230825
88086,88086,88086,88086,Comprehensive,Basic,Expired,1,M1,A,CNG,New,30,Medium,0.3,Approved,0,1,0,1,6,-1,3,79.32,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20250621
88087,88087,88087,88087,Third Party,Silver,Active,3,M4,C2,Diesel,New,19,Low,0.19,Approved,0,1,0,1,2,-9,2,97.67,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250503
88088,88088,88088,88088,Comprehensive,Silver,Active,1,M7,B2,Petrol,New,65,High,0.65,Manual Review,1,0,0,0,67,6,3,88.27,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20230910
88089,88089,88089,88089,Third Party,Silver,Active,1,M1,A,CNG,New,37,Medium,0.37,Manual Review,1,0,0,0,33,1,4,97.58,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20250514
88090,88090,88090,88090,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,67,High,0.67,Manual Review,1,0,0,0,86,14,6,99.13,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20220312
88091,88091,88091,88091,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,14,Low,0.14,Approved,0,1,0,1,6,-4,2,85.56,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240710
88092,88092,88092,88092,Third Party,Gold,Active,1,M6,B2,Petrol,New,73,High,0.73,Rejected,0,0,1,1,11,19,5,80.53,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240518
88093,88093,88093,88093,Third Party,Basic,Active,3,M4,C2,Diesel,New,84,Very High,0.84,Rejected,0,0,1,1,14,34,1,92.21,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20251211
88094,88094,88094,88094,Third Party,Basic,Active,1,M1,A,CNG,New,45,Medium,0.45,Manual Review,1,0,0,0,87,7,7,80.62,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20251222
88095,88095,88095,88095,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,13,Low,0.13,Approved,0,1,0,1,2,-1,5,89.22,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220201
88096,88096,88096,88096,Third Party,Gold,Active,4,M5,B2,Diesel,New,34,Medium,0.34,Approved,0,1,0,1,4,2,6,96.9,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250520
88097,88097,88097,88097,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,83,Very High,0.83,Rejected,0,0,1,1,12,33,1,78.61,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240426
88098,88098,88098,88098,Third Party,Basic,Active,1,M1,A,CNG,New,42,Medium,0.42,Manual Review,1,0,0,0,41,5,3,87.97,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230408
88099,88099,88099,88099,Comprehensive,Gold,Active,1,M8,B1,CNG,New,90,Very High,0.9,Rejected,0,0,1,1,9,17,5,81.53,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231211
88100,88100,88100,88100,Third Party,Silver,Active,1,M6,B2,Petrol,New,71,High,0.71,Rejected,0,0,1,1,24,26,5,87.73,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220904
88101,88101,88101,88101,Comprehensive,Silver,Cancelled,1,M1,A,CNG,New,86,Very High,0.86,Rejected,0,0,1,1,18,26,7,76.48,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220509
88102,88102,88102,88102,Comprehensive,Basic,Active,1,M2,C1,Petrol,New,90,Very High,0.9,Rejected,0,0,1,1,15,20,7,76.34,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221129
88103,88103,88103,88103,Third Party,Basic,Active,4,M5,B2,Diesel,New,61,High,0.61,Manual Review,1,0,0,0,37,5,5,85.86,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20250103
88104,88104,88104,88104,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,36,Medium,0.36,Manual Review,1,0,0,0,75,9,2,91.24,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240910
88105,88105,88105,88105,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,73,High,0.73,Rejected,0,0,1,1,8,34,1,97.96,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250118
88106,88106,88106,88106,Third Party,Silver,Expired,1,M6,B2,Petrol,New,52,Medium,0.52,Manual Review,1,0,0,0,66,14,5,94.51,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240303
88107,88107,88107,88107,Third Party,Gold,Active,1,M8,B1,CNG,New,69,High,0.69,Manual Review,1,0,0,0,63,2,4,77.05,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20220221
88108,88108,88108,88108,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,60,High,0.6,Manual Review,1,0,0,0,77,2,2,81.3,Manual,David,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20240330
88109,88109,88109,88109,Comprehensive,Basic,Expired,3,M4,C2,Diesel,New,52,Medium,0.52,Manual Review,1,0,0,0,61,9,4,94.99,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20241101
88110,88110,88110,88110,Third Party,Silver,Active,4,M5,B2,Diesel,New,32,Medium,0.32,Approved,0,1,0,1,2,4,6,86.54,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220215
88111,88111,88111,88111,Comprehensive,Basic,Active,2,M3,A,Petrol,New,10,Low,0.1,Approved,0,1,0,1,2,4,4,88.43,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250808
88112,88112,88112,88112,Third Party,Silver,Active,3,M4,C2,Diesel,New,91,Very High,0.91,Rejected,0,0,1,1,19,22,5,93.18,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220517
88113,88113,88113,88113,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,91,Very High,0.91,Rejected,0,0,1,1,7,28,1,97.57,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250125
88114,88114,88114,88114,Comprehensive,Gold,Active,1,M1,A,CNG,New,51,Medium,0.51,Manual Review,1,0,0,0,21,13,1,80.21,Manual,David,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20240724
88115,88115,88115,88115,Comprehensive,Gold,Active,1,M2,C1,Petrol,New,69,High,0.69,Manual Review,1,0,0,0,74,11,1,98.27,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20220611
88116,88116,88116,88116,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,58,Medium,0.58,Manual Review,1,0,0,0,43,5,1,79.6,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250116
88117,88117,88117,88117,Third Party,Basic,Active,1,M10,Utility,CNG,New,19,Low,0.19,Approved,0,1,0,1,2,1,3,82.32,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20241212
88118,88118,88118,88118,Third Party,Silver,Active,4,M5,B2,Diesel,New,53,Medium,0.53,Manual Review,1,0,0,0,34,6,1,81.72,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20220419
88119,88119,88119,88119,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,65,High,0.65,Manual Review,1,0,0,0,83,4,2,75.9,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20220214
88120,88120,88120,88120,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,13,Low,0.13,Approved,0,1,0,1,2,-3,3,88.2,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240514
88121,88121,88121,88121,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,82,Very High,0.82,Rejected,0,0,1,1,11,21,6,76.81,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250330
88122,88122,88122,88122,Third Party,Basic,Active,1,M1,A,CNG,New,64,High,0.64,Manual Review,1,0,0,0,43,7,3,75.29,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20250801
88123,88123,88123,88123,Comprehensive,Silver,Active,1,M1,A,CNG,New,94,Very High,0.94,Rejected,0,0,1,1,6,16,2,88.25,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240830
88124,88124,88124,88124,Third Party,Basic,Active,1,M6,B2,Petrol,New,85,Very High,0.85,Rejected,0,0,1,1,17,15,6,77.89,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240406
88125,88125,88125,88125,Comprehensive,Gold,Active,1,M8,B1,CNG,New,88,Very High,0.88,Rejected,0,0,1,1,19,28,7,89.95,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20221114
88126,88126,88126,88126,Third Party,Gold,Active,5,M9,C1,Diesel,New,42,Medium,0.42,Manual Review,1,0,0,0,26,5,4,79.11,Manual,Rahul,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20240206
88127,88127,88127,88127,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,41,Medium,0.41,Manual Review,1,0,0,0,38,1,6,77.82,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250807
88128,88128,88128,88128,Third Party,Gold,Active,4,M5,B2,Diesel,New,75,High,0.75,Rejected,0,0,1,1,9,15,4,96.65,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230307
88129,88129,88129,88129,Comprehensive,Gold,Expired,3,M4,C2,Diesel,New,32,Medium,0.32,Approved,0,1,0,1,4,4,3,95.42,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20231130
88130,88130,88130,88130,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,99,Very High,0.99,Rejected,0,0,1,1,23,20,3,76.96,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230121
88131,88131,88131,88131,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,7,Low,0.07,Approved,0,1,0,1,2,4,3,84.1,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20241014
88132,88132,88132,88132,Third Party,Gold,Active,3,M4,C2,Diesel,New,38,Medium,0.38,Manual Review,1,0,0,0,81,7,4,78.0,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240813
88133,88133,88133,88133,Comprehensive,Basic,Expired,3,M4,C2,Diesel,New,73,High,0.73,Rejected,0,0,1,1,12,23,5,88.94,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240620
88134,88134,88134,88134,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,98,Very High,0.98,Rejected,0,0,1,1,12,34,5,76.06,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230621
88135,88135,88135,88135,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,76,High,0.76,Rejected,0,0,1,1,18,15,7,92.04,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220222
88136,88136,88136,88136,Comprehensive,Gold,Active,5,M9,C1,Diesel,New,57,Medium,0.57,Manual Review,1,0,0,0,63,8,3,88.75,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240906
